step,agent_idx,junction_id,reward,episode_reward
65,0,J0,0.025677810861169256,55.68710962358558
65,1,J1,-1.5e-05,55.68710962358558
65,2,J5,0.299985,55.68710962358558
65,3,J6,0.299985,55.68710962358558
65,4,J7,-1.5e-05,55.68710962358558
65,5,J10,0.149985,55.68710962358558
65,6,J11,0.299985,55.68710962358558
65,7,J12,0.299985,55.68710962358558
65,8,J22,-1.5e-05,55.68710962358558
66,0,J0,0.025677810861169256,56.312667434446745
66,1,J1,-1.5e-05,56.312667434446745
66,2,J5,0.299985,56.312667434446745
66,3,J6,0.299985,56.312667434446745
66,4,J7,-1.5e-05,56.312667434446745
66,5,J10,-1.5e-05,56.312667434446745
66,6,J11,-1.5e-05,56.312667434446745
66,7,J12,-1.5e-05,56.312667434446745
66,8,J22,-1.5e-05,56.312667434446745
67,0,J0,0.025677810861169256,57.388225245307915
67,1,J1,-1.5e-05,57.388225245307915
67,2,J5,-1.5e-05,57.388225245307915
67,3,J6,0.299985,57.388225245307915
67,4,J7,-1.5e-05,57.388225245307915
67,5,J10,0.224985,57.388225245307915
67,6,J11,0.224985,57.388225245307915
67,7,J12,0.299985,57.388225245307915
67,8,J22,-1.5e-05,57.388225245307915
68,0,J0,0.025677810861169256,59.063783056169086
68,1,J1,-1.5e-05,59.063783056169086
68,2,J5,0.299985,59.063783056169086
68,3,J6,0.299985,59.063783056169086
68,4,J7,-1.5e-05,59.063783056169086
68,5,J10,0.224985,59.063783056169086
68,6,J11,0.224985,59.063783056169086
68,7,J12,0.299985,59.063783056169086
68,8,J22,0.299985,59.063783056169086
69,0,J0,0.025677810861169256,60.039340867030255
69,1,J1,-1.5e-05,60.039340867030255
69,2,J5,0.149985,60.039340867030255
69,3,J6,0.199985,60.039340867030255
